library,n_test,model,balanced_accuracy,macro_f1
E2L1,2302,RNA PCA (50),0.9404437802183192,0.9353088675485652
E2L1,2302,ADT PCA (30),0.9231097241557131,0.9201516690817264
E2L1,2302,ADT PCA + classical,0.9323146442789143,0.9299006948091256
E2L1,2302,ADT PCA + APG,0.9490408500445204,0.9447798983208422
E2L1,2302,ADT PCA + classical + APG,0.9508323413305677,0.9468689012812351
E2L1,2302,RNA PCA + ADT classical,0.9526727723198926,0.9467275757474971
E2L1,2302,RNA PCA + ADT APG,0.9506147155647455,0.94786461266598
E2L1,2302,RNA PCA + ADT classical + APG,0.9571464059506459,0.9534398921693329
E2L2,2481,RNA PCA (50),0.9456211746814005,0.9380368289029164
E2L2,2481,ADT PCA (30),0.9227333994325109,0.9281211628783026
E2L2,2481,ADT PCA + classical,0.9306624083361484,0.937253474463618
E2L2,2481,ADT PCA + APG,0.9524580693543471,0.9539934253288817
E2L2,2481,ADT PCA + classical + APG,0.9538948509635425,0.954894776211791
E2L2,2481,RNA PCA + ADT classical,0.9499568812603002,0.9450598971222377
E2L2,2481,RNA PCA + ADT APG,0.9532839018057613,0.946463440760217
E2L2,2481,RNA PCA + ADT classical + APG,0.9535933077463554,0.9466943194202666
E2L3,2258,RNA PCA (50),0.9481291915934572,0.9414522358322714
E2L3,2258,ADT PCA (30),0.9091524297380151,0.9180310161420338
E2L3,2258,ADT PCA + classical,0.9224923432577352,0.9294599842279557
E2L3,2258,ADT PCA + APG,0.954798011979362,0.9559337969242847
E2L3,2258,ADT PCA + classical + APG,0.9561000953126952,0.9570390708619474
E2L3,2258,RNA PCA + ADT classical,0.9528058410414981,0.9468895033591671
E2L3,2258,RNA PCA + ADT APG,0.9593698983504684,0.9527750168333792
E2L3,2258,RNA PCA + ADT classical + APG,0.9595020336570221,0.95299687616857
E2L4,2346,RNA PCA (50),0.9416454026777478,0.9355704314014136
E2L4,2346,ADT PCA (30),0.913219655362622,0.9195683622442735
E2L4,2346,ADT PCA + classical,0.9224894852605028,0.9269235151912585
E2L4,2346,ADT PCA + APG,0.9433423297138757,0.9438209589073356
E2L4,2346,ADT PCA + classical + APG,0.944440192690131,0.9455952836076824
E2L4,2346,RNA PCA + ADT classical,0.9451202267681253,0.9418303050828664
E2L4,2346,RNA PCA + ADT APG,0.9485453421427497,0.9446961064283692
E2L4,2346,RNA PCA + ADT classical + APG,0.9512150659284133,0.9473942453880446
E2L5,2418,RNA PCA (50),0.9596887605711548,0.9537653909501054
E2L5,2418,ADT PCA (30),0.9275067960647188,0.9325895277137742
E2L5,2418,ADT PCA + classical,0.931948580438672,0.939360057927388
E2L5,2418,ADT PCA + APG,0.9471724352513292,0.9521467534314176
E2L5,2418,ADT PCA + classical + APG,0.9447680702112966,0.9517829457153255
E2L5,2418,RNA PCA + ADT classical,0.9593598132027338,0.9529953225571595
E2L5,2418,RNA PCA + ADT APG,0.964299623242215,0.9616920732931378
E2L5,2418,RNA PCA + ADT classical + APG,0.9679615386871938,0.9648668939001239
E2L6,2521,RNA PCA (50),0.951621975095891,0.9494576963874913
E2L6,2521,ADT PCA (30),0.9311517490257543,0.9344193597571073
E2L6,2521,ADT PCA + classical,0.943987769402546,0.9463755228409607
E2L6,2521,ADT PCA + APG,0.9657473237412989,0.9609150632288159
E2L6,2521,ADT PCA + classical + APG,0.9673443708868813,0.962673449562507
E2L6,2521,RNA PCA + ADT classical,0.9546397770078242,0.9565677261777963
E2L6,2521,RNA PCA + ADT APG,0.9591514298124688,0.9584376839422475
E2L6,2521,RNA PCA + ADT classical + APG,0.9614975222543518,0.9608545825343286
E2L7,2442,RNA PCA (50),0.945159068248279,0.9437970137785685
E2L7,2442,ADT PCA (30),0.9306187409390778,0.9382838847581345
E2L7,2442,ADT PCA + classical,0.9376464049032511,0.9423677980657703
E2L7,2442,ADT PCA + APG,0.9620374183964607,0.9623766129403324
E2L7,2442,ADT PCA + classical + APG,0.9647118237680323,0.9641840559646555
E2L7,2442,RNA PCA + ADT classical,0.9458457905572544,0.9474523536412501
E2L7,2442,RNA PCA + ADT APG,0.948669460219873,0.9501490545345537
E2L7,2442,RNA PCA + ADT classical + APG,0.9492129729684673,0.950892279247776
E2L8,2425,RNA PCA (50),0.9555960876547644,0.9437547057691285
E2L8,2425,ADT PCA (30),0.9098384966109616,0.9226548162150016
E2L8,2425,ADT PCA + classical,0.9232388066083917,0.9320645401716208
E2L8,2425,ADT PCA + APG,0.9475707940263577,0.9517562901103638
E2L8,2425,ADT PCA + classical + APG,0.9449475946904192,0.9484846037490982
E2L8,2425,RNA PCA + ADT classical,0.9566026319711678,0.947690651247181
E2L8,2425,RNA PCA + ADT APG,0.9605785709383039,0.9514478471492358
E2L8,2425,RNA PCA + ADT classical + APG,0.9598654538519474,0.9503375448453558
L1,3540,RNA PCA (50),0.9447459224929186,0.9448498186616269
L1,3540,ADT PCA (30),0.9517527824567209,0.9558699127815016
L1,3540,ADT PCA + classical,0.9623230765776669,0.9635264174255805
L1,3540,ADT PCA + APG,0.9688750351826705,0.9697160626527781
L1,3540,ADT PCA + classical + APG,0.9678806247950664,0.9685821705836056
L1,3540,RNA PCA + ADT classical,0.9513794371920359,0.9501822229817474
L1,3540,RNA PCA + ADT APG,0.9579169454647525,0.9580268153504219
L1,3540,RNA PCA + ADT classical + APG,0.9582130318300102,0.9585343115951761
L2,3430,RNA PCA (50),0.9402363902819555,0.9387948561439542
L2,3430,ADT PCA (30),0.9433624783250502,0.9403467254430946
L2,3430,ADT PCA + classical,0.948355583829509,0.9478260084809444
L2,3430,ADT PCA + APG,0.95718345382241,0.9510461768517304
L2,3430,ADT PCA + classical + APG,0.9531051575403209,0.9499122469498309
L2,3430,RNA PCA + ADT classical,0.944035048257136,0.9427135838136194
L2,3430,RNA PCA + ADT APG,0.9569700078833716,0.956055682404577
L2,3430,RNA PCA + ADT classical + APG,0.9556341564519995,0.9551499397169285
L3,3053,RNA PCA (50),0.9453053728427081,0.9407848646773742
L3,3053,ADT PCA (30),0.9465957782290195,0.9380912358365567
L3,3053,ADT PCA + classical,0.9485777587208956,0.9381636342850688
L3,3053,ADT PCA + APG,0.9610852029238541,0.9502310848082687
L3,3053,ADT PCA + classical + APG,0.9634661515670634,0.9524404370454733
L3,3053,RNA PCA + ADT classical,0.9508121708951689,0.9441144080864653
