fold,balanced_accuracy,macro_f1,model
1,0.9430619687956283,0.93977178052455,RNA PCA (50)
2,0.9430509273206487,0.9398879979531445,RNA PCA (50)
3,0.9454688982863679,0.9425305678779362,RNA PCA (50)
4,0.949712647063721,0.9437881308024536,RNA PCA (50)
5,0.951228341627208,0.9483164384810132,RNA PCA (50)
1,0.9362297955532937,0.9390295031590881,ADT PCA (30)
2,0.9321471222551732,0.9370065882818712,ADT PCA (30)
3,0.9383244470746405,0.938927712665446,ADT PCA (30)
4,0.938709598093752,0.940652984165713,ADT PCA (30)
5,0.9371762545253903,0.9396824810704132,ADT PCA (30)
1,0.943842369128731,0.9455688637024287,ADT PCA + classical
2,0.9425601781063269,0.9454015901544583,ADT PCA + classical
3,0.9419941853966985,0.9411687190714937,ADT PCA + classical
4,0.9491092998294137,0.9482255109153968,ADT PCA + classical
5,0.9447300806600277,0.9454445550212837,ADT PCA + classical
1,0.9606484104962096,0.9591828709111503,ADT PCA + APG
2,0.9593555080619469,0.9586142068208273,ADT PCA + APG
3,0.9587294193187497,0.9535295920226804,ADT PCA + APG
4,0.9636809984347736,0.9590646838384954,ADT PCA + APG
5,0.9622496919634609,0.9599204319622141,ADT PCA + APG
1,0.9603011882739875,0.958925129409202,ADT PCA + classical + APG
2,0.9594924193434365,0.9590448124083201,ADT PCA + classical + APG
3,0.9591449443186049,0.9533672241846898,ADT PCA + classical + APG
4,0.9639518914353645,0.9592000071883655,ADT PCA + classical + APG
5,0.9623436425986864,0.9607574420068942,ADT PCA + classical + APG
1,0.9469025989117887,0.9444304089697741,RNA PCA + ADT classical
2,0.9488122692304738,0.9457648412992019,RNA PCA + ADT classical
3,0.947677782623998,0.9454217387115993,RNA PCA + ADT classical
4,0.9552406629324195,0.9490239213265395,RNA PCA + ADT classical
5,0.9552452586120364,0.9527300205319646,RNA PCA + ADT classical
1,0.9522139272621772,0.9499754090791268,RNA PCA + ADT APG
2,0.956222272738555,0.9536638880344774,RNA PCA + ADT APG
3,0.9529999310060857,0.9503876608182162,RNA PCA + ADT APG
4,0.9630424852800759,0.9578568427598524,RNA PCA + ADT APG
5,0.9592747854321988,0.9575785732098754,RNA PCA + ADT APG
1,0.9539292793073468,0.9512487499514262,RNA PCA + ADT classical + APG
2,0.9588142672136275,0.9555826766728995,RNA PCA + ADT classical + APG
3,0.9530698112538577,0.9508533523705632,RNA PCA + ADT classical + APG
4,0.962870153199493,0.9575265282682155,RNA PCA + ADT classical + APG
5,0.9605672772558049,0.958616098099438,RNA PCA + ADT classical + APG
