model,fold,balanced_accuracy,macro_f1
ADT PCA (30),1,0.9400746192661391,0.9399212021006231
ADT PCA + classical,1,0.9454129217785637,0.9458305515646126
ADT PCA + APG,1,0.9613160369165752,0.957481902916925
ADT PCA + classical + APG,1,0.9619997131472278,0.9584995882754128
RNA PCA (50),1,0.9430619687956283,0.93977178052455
RNA PCA + ADT classical,1,0.9469025989117887,0.9444304089697741
RNA PCA + ADT APG,1,0.9522139272621772,0.9499754090791268
RNA PCA + ADT classical + APG,1,0.9539292793073468,0.9512487499514262
ADT PCA (30),2,0.930731842463272,0.9361925815018334
ADT PCA + classical,2,0.9449468075272094,0.9492053285314079
ADT PCA + APG,2,0.9606476615826101,0.9607668191598369
ADT PCA + classical + APG,2,0.9612138350676516,0.9615540693128387
RNA PCA (50),2,0.9430509273206487,0.9398879979531445
RNA PCA + ADT classical,2,0.9488122692304738,0.9457648412992019
RNA PCA + ADT APG,2,0.956222272738555,0.9536638880344774
RNA PCA + ADT classical + APG,2,0.9588142672136275,0.9555826766728995
ADT PCA (30),3,0.9353701149019324,0.9365129356137141
ADT PCA + classical,3,0.9440070713716157,0.9428540819830611
ADT PCA + APG,3,0.95931440968212,0.9542242927229508
ADT PCA + classical + APG,3,0.9596655728257875,0.9546694702238285
RNA PCA (50),3,0.9454688982863679,0.9425305678779362
RNA PCA + ADT classical,3,0.947677782623998,0.9454217387115993
RNA PCA + ADT APG,3,0.9529999310060857,0.9503876608182162
RNA PCA + ADT classical + APG,3,0.9530698112538577,0.9508533523705632
ADT PCA (30),4,0.9371925010867865,0.9391223890976372
ADT PCA + classical,4,0.9480802635139403,0.9481960217484362
ADT PCA + APG,4,0.9647573063150328,0.9598240901874073
ADT PCA + classical + APG,4,0.965186243069094,0.9599297265828085
RNA PCA (50),4,0.949712647063721,0.9437881308024536
RNA PCA + ADT classical,4,0.9552406629324195,0.9490239213265395
RNA PCA + ADT APG,4,0.9630424852800759,0.9578568427598524
RNA PCA + ADT classical + APG,4,0.962870153199493,0.9575265282682155
ADT PCA (30),5,0.9361297043128409,0.9392884222820812
ADT PCA + classical,5,0.9465461991618881,0.9481450212399257
ADT PCA + APG,5,0.9658205935045906,0.9626632110501891
ADT PCA + classical + APG,5,0.9645024293089395,0.9621336755292318
RNA PCA (50),5,0.951228341627208,0.9483164384810132
RNA PCA + ADT classical,5,0.9552452586120364,0.9527300205319646
RNA PCA + ADT APG,5,0.9592747854321988,0.9575785732098754
RNA PCA + ADT classical + APG,5,0.9605672772558049,0.958616098099438
