group,n_test,model,balanced_accuracy,macro_f1
E2L1,2302,ADT PCA (30),0.9140275046204783,0.9127934454966302
E2L1,2302,ADT PCA + classical,0.9327036554045018,0.9311236202311177
E2L1,2302,ADT PCA + APG,0.951043519719005,0.9466000326343051
E2L1,2302,ADT PCA + classical + APG,0.9490378118065028,0.944606447476886
E2L1,2302,RNA PCA (50),0.9404437802183192,0.9353088675485652
E2L1,2302,RNA PCA + ADT APG,0.9506147155647455,0.94786461266598
E2L2,2481,ADT PCA (30),0.9289732246394538,0.9334205493373289
E2L2,2481,ADT PCA + classical,0.9400463699974677,0.9436611105114605
E2L2,2481,ADT PCA + APG,0.9544804514152448,0.9560531223277173
E2L2,2481,ADT PCA + classical + APG,0.9536206630554565,0.9558049359981515
E2L2,2481,RNA PCA (50),0.9456211746814005,0.9380368289029164
E2L2,2481,RNA PCA + ADT APG,0.9532839018057613,0.946463440760217
E2L3,2258,ADT PCA (30),0.9076722749290559,0.9158104093260373
E2L3,2258,ADT PCA + classical,0.9209438453126952,0.9267037341435915
E2L3,2258,ADT PCA + APG,0.9534959286460286,0.954238748290461
E2L3,2258,ADT PCA + classical + APG,0.9531712533213532,0.9537291459038724
E2L3,2258,RNA PCA (50),0.9481291915934572,0.9414522358322714
E2L3,2258,RNA PCA + ADT APG,0.9593698983504684,0.9527750168333792
E2L4,2346,ADT PCA (30),0.9145084554205611,0.9182537267207141
E2L4,2346,ADT PCA + classical,0.9278774911554374,0.9313169460891842
E2L4,2346,ADT PCA + APG,0.9455384938234841,0.9459272490258134
E2L4,2346,ADT PCA + classical + APG,0.947194997103098,0.9485631451711651
E2L4,2346,RNA PCA (50),0.9416454026777478,0.9355704314014136
E2L4,2346,RNA PCA + ADT APG,0.9485453421427497,0.9446961064283692
E2L5,2418,ADT PCA (30),0.931636328452976,0.9374618718388041
E2L5,2418,ADT PCA + classical,0.9349612622513899,0.9416976073792593
E2L5,2418,ADT PCA + APG,0.9480140873796162,0.9527300795831832
E2L5,2418,ADT PCA + classical + APG,0.9486719821164584,0.9536869628934883
E2L5,2418,RNA PCA (50),0.9596887605711548,0.9537653909501054
E2L5,2418,RNA PCA + ADT APG,0.964299623242215,0.9616920732931378
E2L6,2521,ADT PCA (30),0.9261496956467958,0.9296168647010221
E2L6,2521,ADT PCA + classical,0.9450217002901045,0.9466193183881529
E2L6,2521,ADT PCA + APG,0.9678173053663606,0.964960283005897
E2L6,2521,ADT PCA + classical + APG,0.9678173053663606,0.9650548320729241
E2L6,2521,RNA PCA (50),0.951621975095891,0.9494576963874913
E2L6,2521,RNA PCA + ADT APG,0.9591514298124688,0.9584376839422475
E2L7,2442,ADT PCA (30),0.9303522434029331,0.9354100029495194
E2L7,2442,ADT PCA + classical,0.9355146862142951,0.9391874345179607
E2L7,2442,ADT PCA + APG,0.9609791092236768,0.959689503041638
E2L7,2442,ADT PCA + classical + APG,0.962216732986053,0.9607656854995521
E2L7,2442,RNA PCA (50),0.945159068248279,0.9437970137785685
E2L7,2442,RNA PCA + ADT APG,0.948669460219873,0.9501490545345537
E2L8,2425,ADT PCA (30),0.9149889392614043,0.9233643376268945
E2L8,2425,ADT PCA + classical,0.924562621458326,0.9342007073169358
E2L8,2425,ADT PCA + APG,0.9555389156828596,0.9562885439415191
E2L8,2425,ADT PCA + classical + APG,0.9560030161469601,0.9586043053386158
E2L8,2425,RNA PCA (50),0.9555960876547644,0.9437547057691285
E2L8,2425,RNA PCA + ADT APG,0.9605785709383039,0.9514478471492358
L1,3540,ADT PCA (30),0.9474809222492173,0.9549948994566857
L1,3540,ADT PCA + classical,0.9590456092078594,0.9646154593370053
L1,3540,ADT PCA + APG,0.9710324914553315,0.9732957203840887
L1,3540,ADT PCA + classical + APG,0.9703024965203545,0.9714866899948503
L1,3540,RNA PCA (50),0.9447459224929186,0.9448498186616269
L1,3540,RNA PCA + ADT APG,0.9579169454647525,0.9580268153504219
L2,3430,ADT PCA (30),0.9470098257725884,0.9446448708877436
L2,3430,ADT PCA + classical,0.9555641045305626,0.951841742387508
L2,3430,ADT PCA + APG,0.9633145800882446,0.9536591415088258
L2,3430,ADT PCA + classical + APG,0.961806643580308,0.9554524906430253
L2,3430,RNA PCA (50),0.9402363902819555,0.9387948561439542
L2,3430,RNA PCA + ADT APG,0.9569700078833716,0.956055682404577
L3,3053,ADT PCA (30),0.9460899158183989,0.9355729015877369
L3,3053,ADT PCA + classical,0.9513733575298279,0.9383167955831027
L3,3053,ADT PCA + APG,0.9660563106049873,0.9539164765346226
L3,3053,ADT PCA + classical + APG,0.9653937929378494,0.9519191975229
L3,3053,RNA PCA (50),0.9453053728427081,0.9407848646773742
L3,3053,RNA PCA + ADT APG,0.9583114000287813,0.9550069607553654
L4,3443,ADT PCA (30),0.9403223304366874,0.9417035519136048
L4,3443,ADT PCA + classical,0.9496460348982114,0.949211418943015
L4,3443,ADT PCA + APG,0.962028497635165,0.9590536638251498
L4,3443,ADT PCA + classical + APG,0.9621892577324102,0.9582694616077214
L4,3443,RNA PCA (50),0.9481010730569137,0.9473279063172426
L4,3443,RNA PCA + ADT APG,0.9580794720278933,0.9552633012991223
L5,3774,ADT PCA (30),0.9550300902095072,0.9541738160434902
L5,3774,ADT PCA + classical,0.9611816972608767,0.9560984505156699
L5,3774,ADT PCA + APG,0.973129280556627,0.9636832067321397
L5,3774,ADT PCA + classical + APG,0.9717110287960286,0.9643211899566017
L5,3774,RNA PCA (50),0.9412227161876019,0.9358654125241541
L5,3774,RNA PCA + ADT APG,0.9515312351205849,0.947100065662879
