model,fold,balanced_accuracy,macro_f1
Gene classical,1,0.37421875000000004,0.3326277035868125
Gene classical,2,0.38203125,0.32998444843489305
Gene classical,3,0.3703125,0.3291415558257128
Gene classical,4,0.37187499999999996,0.3277026664571302
Gene classical,5,0.36250000000000004,0.31737827412736486
Gene classical + APG,1,0.4140625,0.39126382339363586
Gene classical + APG,2,0.41796875,0.3850279205150477
Gene classical + APG,3,0.40859375,0.38277397760096077
Gene classical + APG,4,0.41484375,0.39244849021522965
Gene classical + APG,5,0.41015625,0.38660820552764297
Programme classical,1,0.3359375,0.2904815227416488
Programme classical,2,0.33515625,0.2837751505844235
Programme classical,3,0.3234375,0.2765118763834971
Programme classical,4,0.34453124999999996,0.2925635315561929
Programme classical,5,0.32578125,0.2756231573336637
Programme APG,1,0.41640625000000003,0.3854400951338061
Programme APG,2,0.4109375,0.3749291747470901
Programme APG,3,0.40625,0.3660609637259698
Programme APG,4,0.43749999999999994,0.4013465440517402
Programme APG,5,0.41796874999999994,0.37499880160045745
Programme classical + APG,1,0.4328125,0.4237897984189608
Programme classical + APG,2,0.428125,0.4062568219305778
Programme classical + APG,3,0.42265625,0.40048125558727893
Programme classical + APG,4,0.44296875,0.424341085176677
Programme classical + APG,5,0.425,0.40866332288676116
All classical,1,0.4640625,0.4372529218055966
All classical,2,0.465625,0.4333921824960484
All classical,3,0.43984375,0.4117010669904605
All classical,4,0.4515625,0.4232914393002192
All classical,5,0.44765625000000003,0.4235515088636092
All classical + all APG,1,0.54296875,0.5347170764362679
All classical + all APG,2,0.54921875,0.5340987202417573
All classical + all APG,3,0.5445312499999999,0.5281236802019817
All classical + all APG,4,0.5453125000000001,0.5318934594413632
All classical + all APG,5,0.54296875,0.5375454100886881
