feature_a,feature_b,spearman_rho,abs_rho
program_apg_pr,program_apg_d_4_0,1.0,1.0
apg_c2,apg_pr,-1.0,1.0
program_apg_c2,program_apg_d_4_0,-1.0,1.0
program_apg_c2,program_apg_pr,-1.0,1.0
apg_c2,apg_d_4_0,-1.0,1.0
apg_pr,apg_d_4_0,1.0,1.0
program_apg_entropy_norm,program_apg_neff,1.0,1.0
apg_entropy_norm,apg_neff,1.0,1.0
program_apg_d_4_0,program_apg_integrated_2_6,0.9999271438771405,0.9999271438771405
program_apg_pr,program_apg_integrated_2_6,0.9999271438771405,0.9999271438771405
program_apg_c2,program_apg_integrated_2_6,-0.9999271438771405,0.9999271438771405
apg_d_2_5,apg_integrated_2_6,0.9998546041376857,0.9998546041376857
apg_entropy_norm,apg_d_2_25,0.9997076746754804,0.9997076746754804
apg_neff,apg_d_2_25,0.9997076746754804,0.9997076746754804
apg_d_2_25,apg_d_2_5,0.9996909652481926,0.9996909652481926
apg_d_3_0,apg_integrated_2_6,0.9994118749246064,0.9994118749246064
program_apg_d_5_0,program_apg_d_6_0,0.9991482178058333,0.9991482178058333
apg_d_2_25,apg_integrated_2_6,0.9991352489718078,0.9991352489718078
program_apg_d_2_25,program_apg_d_2_5,0.9989313043672735,0.9989313043672735
apg_entropy_norm,apg_d_2_5,0.9988107989364209,0.9988107989364209
apg_neff,apg_d_2_5,0.9988107989364209,0.9988107989364209
program_apg_d_5_0,program_apg_integrated_2_6,0.9987995548524533,0.9987995548524533
apg_d_2_5,apg_d_3_0,0.9987011314380159,0.9987011314380159
program_apg_neff,program_apg_d_2_25,0.9984343463625786,0.9984343463625786
program_apg_entropy_norm,program_apg_d_2_25,0.9984343463625786,0.9984343463625786
program_apg_c2,program_apg_d_5_0,-0.9982095497986715,0.9982095497986715
program_apg_pr,program_apg_d_5_0,0.9982095497986715,0.9982095497986715
program_apg_d_4_0,program_apg_d_5_0,0.9982095497986715,0.9982095497986715
apg_d_5_0,apg_d_6_0,0.9980042278870661,0.9980042278870661
apg_entropy_norm,apg_integrated_2_6,0.9978570960017602,0.9978570960017602
apg_neff,apg_integrated_2_6,0.9978570960017602,0.9978570960017602
program_apg_d_2_5,program_apg_d_3_0,0.9974574088994473,0.9974574088994473
apg_d_2_25,apg_d_3_0,0.9971485015325562,0.9971485015325562
apg_d_4_0,apg_d_5_0,0.996454676442375,0.996454676442375
apg_c2,apg_d_5_0,-0.996454676442375,0.996454676442375
apg_pr,apg_d_5_0,0.996454676442375,0.996454676442375
program_apg_d_6_0,program_apg_integrated_2_6,0.9960585011883777,0.9960585011883777
program_apg_d_3_0,program_apg_d_4_0,0.9956353618918543,0.9956353618918543
program_apg_c2,program_apg_d_3_0,-0.9956353618918543,0.9956353618918543
program_apg_pr,program_apg_d_3_0,0.9956353618918543,0.9956353618918543
apg_neff,apg_d_3_0,0.995063581040981,0.995063581040981
apg_entropy_norm,apg_d_3_0,0.995063581040981,0.995063581040981
program_apg_pr,program_apg_d_6_0,0.9950369337231019,0.9950369337231019
program_apg_d_4_0,program_apg_d_6_0,0.9950369337231019,0.9950369337231019
program_apg_c2,program_apg_d_6_0,-0.9950369337231019,0.9950369337231019
apg_c2,apg_d_3_0,-0.9950129648288077,0.9950129648288077
apg_d_3_0,apg_d_4_0,0.9950129648288077,0.9950129648288077
apg_pr,apg_d_3_0,0.9950129648288077,0.9950129648288077
program_apg_entropy_norm,program_apg_d_2_5,0.9948688703646992,0.9948688703646992
program_apg_neff,program_apg_d_2_5,0.9948688703646992,0.9948688703646992
program_apg_d_3_0,program_apg_integrated_2_6,0.9946600435275569,0.9946600435275569
program_apg_d_2_25,program_apg_d_3_0,0.9932686853344489,0.9932686853344489
program_apg_cmax,program_apg_d_6_0,-0.9918792971285522,0.9918792971285522
apg_pr,apg_integrated_2_6,0.9910773241229816,0.9910773241229816
apg_d_4_0,apg_integrated_2_6,0.9910773241229816,0.9910773241229816
