,apg_entropy_norm,apg_cmax,apg_c2,apg_neff,apg_pr,apg_d_2_25,apg_d_2_5,apg_d_3_0,apg_d_4_0,apg_d_5_0,apg_d_6_0,apg_integrated_2_6,program_apg_entropy_norm,program_apg_cmax,program_apg_c2,program_apg_neff,program_apg_pr,program_apg_d_2_25,program_apg_d_2_5,program_apg_d_3_0,program_apg_d_4_0,program_apg_d_5_0,program_apg_d_6_0,program_apg_integrated_2_6
apg_entropy_norm,1.0,-0.7817436881986984,-0.9804119033608863,1.0,0.9804119033608863,0.9997076746754804,0.9988107989364209,0.995063581040981,0.9804119033608863,0.9610726537432288,0.9434473032152662,0.9978570960017602,0.3246249332408717,-0.1904572298880872,-0.2534959734372696,0.3246249332408717,0.2534959734372696,0.3088519820337572,0.29633527833172557,0.2776642824944089,0.2534959734372696,0.2377414461341504,0.22646564796773344,0.2517438104504116
apg_cmax,-0.7817436881986984,1.0,0.7752389934292967,-0.7817436881986984,-0.7752389934292967,-0.7817842853371407,-0.7815952331016902,-0.7802652614658266,-0.7752389934292967,-0.7706879714370842,-0.771273341278646,-0.7816917365525327,-0.33112180421124654,0.20535642018765993,0.26846855556891713,-0.33112180421124654,-0.26846855556891713,-0.31794490800846203,-0.30730447157919083,-0.29084351309584167,-0.26846855556891713,-0.2531230189450851,-0.2418210675721547,-0.26644766348746673
apg_c2,-0.9804119033608863,0.7752389934292967,1.0,-0.9804119033608863,-1.0,-0.9847881211496123,-0.9887248065179396,-0.9950129648288077,-1.0,-0.996454676442375,-0.9893820652620133,-0.9910773241229816,-0.4126032312454678,0.2811475738581306,0.34213512377531147,-0.4126032312454678,-0.34213512377531147,-0.397203041598282,-0.384767083925894,-0.3661159498108822,-0.34213512377531147,-0.326681495916527,-0.3157382975812701,-0.34049924560321865
apg_neff,1.0,-0.7817436881986984,-0.9804119033608863,1.0,0.9804119033608863,0.9997076746754804,0.9988107989364209,0.995063581040981,0.9804119033608863,0.9610726537432288,0.9434473032152662,0.9978570960017602,0.3246249332408717,-0.1904572298880872,-0.2534959734372696,0.3246249332408717,0.2534959734372696,0.3088519820337572,0.29633527833172557,0.2776642824944089,0.2534959734372696,0.2377414461341504,0.22646564796773344,0.2517438104504116
apg_pr,0.9804119033608863,-0.7752389934292967,-1.0,0.9804119033608863,1.0,0.9847881211496123,0.9887248065179396,0.9950129648288077,1.0,0.996454676442375,0.9893820652620133,0.9910773241229816,0.4126032312454678,-0.2811475738581306,-0.34213512377531147,0.4126032312454678,0.34213512377531147,0.397203041598282,0.384767083925894,0.3661159498108822,0.34213512377531147,0.326681495916527,0.3157382975812701,0.34049924560321865
apg_d_2_25,0.9997076746754804,-0.7817842853371407,-0.9847881211496123,0.9997076746754804,0.9847881211496123,1.0,0.9996909652481926,0.9971485015325562,0.9847881211496123,0.9672332268611628,0.9507607552218202,0.9991352489718078,0.3357724946783952,-0.2017931970853463,-0.2646133849344555,0.3357724946783952,0.2646133849344555,0.32001578238808404,0.30748638741618084,0.2887880347281396,0.2646133849344555,0.2488814584314515,0.237638374735747,0.262875555489692
apg_d_2_5,0.9988107989364209,-0.7815952331016902,-0.9887248065179396,0.9988107989364209,0.9887248065179396,0.9996909652481926,1.0,0.9987011314380159,0.9887248065179396,0.9730427127665457,0.9577892385324521,0.9998546041376857,0.3470739502007987,-0.21328187607834684,-0.27589114949343785,0.3470739502007987,0.27589114949343785,0.3313367346627857,0.3187965391452305,0.300072363160574,0.27589114949343785,0.26018209744167875,0.2489713781190219,0.27416681876713805
apg_d_3_0,0.995063581040981,-0.7802652614658266,-0.9950129648288077,0.995063581040981,0.9950129648288077,0.9971485015325562,0.9987011314380159,1.0,0.9950129648288077,0.9833036438337072,0.9706682134409964,0.9994118749246064,0.36986390286852777,-0.23667018861850483,-0.2987868317493274,0.36986390286852777,0.2987868317493274,0.3542057504238378,0.3416734592478196,0.3229369686411038,0.2987868317493274,0.28314609479323893,0.2720145998759076,0.29709193657799204
apg_d_4_0,0.9804119033608863,-0.7752389934292967,-1.0,0.9804119033608863,1.0,0.9847881211496123,0.9887248065179396,0.9950129648288077,1.0,0.996454676442375,0.9893820652620133,0.9910773241229816,0.4126032312454678,-0.2811475738581306,-0.34213512377531147,0.4126032312454678,0.34213512377531147,0.397203041598282,0.384767083925894,0.3661159498108822,0.34213512377531147,0.326681495916527,0.3157382975812701,0.34049924560321865
apg_d_5_0,0.9610726537432288,-0.7706879714370842,-0.996454676442375,0.9610726537432288,0.996454676442375,0.9672332268611628,0.9730427127665457,0.9833036438337072,0.996454676442375,1.0,0.9980042278870661,0.9767057016407642,0.4462459627736248,-0.316865315320378,-0.37675292117939585,0.4462459627736248,0.37675292117939585,0.43118728930731326,0.4189289499158489,0.4004718214730653,0.37675292117939585,0.3615139534516116,0.3507589743592548,0.3751653248302957
apg_d_6_0,0.9434473032152662,-0.771273341278646,-0.9893820652620133,0.9434473032152662,0.9893820652620133,0.9507607552218202,0.9577892385324521,0.9706682134409964,0.9893820652620133,0.9980042278870661,1.0,0.9623264214129986,0.4691729805081831,-0.34146902229955534,-0.4006192523467394,0.4691729805081831,0.4006192523467394,0.4544339114237967,0.4423601810748454,0.4241069405986021,0.4006192523467394,0.38553953575201355,0.37490977544324716,0.39905736453223745
apg_integrated_2_6,0.9978570960017602,-0.7816917365525327,-0.9910773241229816,0.9978570960017602,0.9910773241229816,0.9991352489718078,0.9998546041376857,0.9994118749246064,0.9910773241229816,0.9767057016407642,0.9623264214129986,1.0,0.3548044713173152,-0.22116331213152723,-0.2836368013482496,0.3548044713173152,0.2836368013482496,0.3390915526638571,0.3265520783983173,0.3078189107902491,0.2836368013482496,0.2679411368471731,0.25674983398312257,0.2819204251356061
program_apg_entropy_norm,0.3246249332408717,-0.33112180421124654,-0.4126032312454678,0.3246249332408717,0.4126032312454678,0.3357724946783952,0.3470739502007987,0.36986390286852777,0.4126032312454678,0.4462459627736248,0.4691729805081831,0.3548044713173152,1.0,-0.9092974560972213,-0.9679230739450997,1.0,0.9679230739450997,0.9984343463625786,0.9948688703646992,0.9856682202019946,0.9679230739450997,0.9542349825212267,0.9440051531757859,0.965879985466762
program_apg_cmax,-0.1904572298880872,0.20535642018765993,0.2811475738581306,-0.1904572298880872,-0.2811475738581306,-0.2017931970853463,-0.21328187607834684,-0.23667018861850483,-0.2811475738581306,-0.316865315320378,-0.34146902229955534,-0.22116331213152723,-0.9092974560972213,1.0,0.9769997084740109,-0.9092974560972213,-0.9769997084740109,-0.9267397610295154,-0.9397552568349249,-0.9576392529944165,-0.9769997084740109,-0.9866324953709625,-0.9918792971285522,-0.979094863337812
program_apg_c2,-0.2534959734372696,0.26846855556891713,0.34213512377531147,-0.2534959734372696,-0.34213512377531147,-0.2646133849344555,-0.27589114949343785,-0.2987868317493274,-0.34213512377531147,-0.37675292117939585,-0.4006192523467394,-0.2836368013482496,-0.9679230739450997,0.9769997084740109,1.0,-0.9679230739450997,-1.0,-0.9794094368910494,-0.9870754273960625,-0.9956353618918543,-1.0,-0.9982095497986715,-0.9950369337231019,-0.9999271438771405
program_apg_neff,0.3246249332408717,-0.33112180421124654,-0.4126032312454678,0.3246249332408717,0.4126032312454678,0.3357724946783952,0.3470739502007987,0.36986390286852777,0.4126032312454678,0.4462459627736248,0.4691729805081831,0.3548044713173152,1.0,-0.9092974560972213,-0.9679230739450997,1.0,0.9679230739450997,0.9984343463625786,0.9948688703646992,0.9856682202019946,0.9679230739450997,0.9542349825212267,0.9440051531757859,0.965879985466762
program_apg_pr,0.2534959734372696,-0.26846855556891713,-0.34213512377531147,0.2534959734372696,0.34213512377531147,0.2646133849344555,0.27589114949343785,0.2987868317493274,0.34213512377531147,0.37675292117939585,0.4006192523467394,0.2836368013482496,0.9679230739450997,-0.9769997084740109,-1.0,0.9679230739450997,1.0,0.9794094368910494,0.9870754273960625,0.9956353618918543,1.0,0.9982095497986715,0.9950369337231019,0.9999271438771405
program_apg_d_2_25,0.3088519820337572,-0.31794490800846203,-0.397203041598282,0.3088519820337572,0.397203041598282,0.32001578238808404,0.3313367346627857,0.3542057504238378,0.397203041598282,0.43118728930731326,0.4544339114237967,0.3390915526638571,0.9984343463625786,-0.9267397610295154,-0.9794094368910494,0.9984343463625786,0.9794094368910494,1.0,0.9989313043672735,0.9932686853344489,0.9794094368910494,0.9676977328657467,0.9586281149120196,0.9776480796661495
program_apg_d_2_5,0.29633527833172557,-0.30730447157919083,-0.384767083925894,0.29633527833172557,0.384767083925894,0.30748638741618084,0.3187965391452305,0.3416734592478196,0.384767083925894,0.4189289499158489,0.4423601810748454,0.3265520783983173,0.9948688703646992,-0.9397552568349249,-0.9870754273960625,0.9948688703646992,0.9870754273960625,0.9989313043672735,1.0,0.9974574088994473,0.9870754273960625,0.9771435715370355,0.9691195076715424,0.9855856086986925
program_apg_d_3_0,0.2776642824944089,-0.29084351309584167,-0.3661159498108822,0.2776642824944089,0.3661159498108822,0.2887880347281396,0.300072363160574,0.3229369686411038,0.3661159498108822,0.4004718214730653,0.4241069405986021,0.3078189107902491,0.9856682202019946,-0.9576392529944165,-0.9956353618918543,0.9856682202019946,0.9956353618918543,0.9932686853344489,0.9974574088994473,1.0,0.9956353618918543,0.9888305648261201,0.9826492124855416,0.9946600435275569
program_apg_d_4_0,0.2534959734372696,-0.26846855556891713,-0.34213512377531147,0.2534959734372696,0.34213512377531147,0.2646133849344555,0.27589114949343785,0.2987868317493274,0.34213512377531147,0.37675292117939585,0.4006192523467394,0.2836368013482496,0.9679230739450997,-0.9769997084740109,-1.0,0.9679230739450997,1.0,0.9794094368910494,0.9870754273960625,0.9956353618918543,1.0,0.9982095497986715,0.9950369337231019,0.9999271438771405
program_apg_d_5_0,0.2377414461341504,-0.2531230189450851,-0.326681495916527,0.2377414461341504,0.326681495916527,0.2488814584314515,0.26018209744167875,0.28314609479323893,0.326681495916527,0.3615139534516116,0.38553953575201355,0.2679411368471731,0.9542349825212267,-0.9866324953709625,-0.9982095497986715,0.9542349825212267,0.9982095497986715,0.9676977328657467,0.9771435715370355,0.9888305648261201,0.9982095497986715,1.0,0.9991482178058333,0.9987995548524533
program_apg_d_6_0,0.22646564796773344,-0.2418210675721547,-0.3157382975812701,0.22646564796773344,0.3157382975812701,0.237638374735747,0.2489713781190219,0.2720145998759076,0.3157382975812701,0.3507589743592548,0.37490977544324716,0.25674983398312257,0.9440051531757859,-0.9918792971285522,-0.9950369337231019,0.9440051531757859,0.9950369337231019,0.9586281149120196,0.9691195076715424,0.9826492124855416,0.9950369337231019,0.9991482178058333,1.0,0.9960585011883777
program_apg_integrated_2_6,0.2517438104504116,-0.26644766348746673,-0.34049924560321865,0.2517438104504116,0.34049924560321865,0.262875555489692,0.27416681876713805,0.29709193657799204,0.34049924560321865,0.3751653248302957,0.39905736453223745,0.2819204251356061,0.965879985466762,-0.979094863337812,-0.9999271438771405,0.965879985466762,0.9999271438771405,0.9776480796661495,0.9855856086986925,0.9946600435275569,0.9999271438771405,0.9987995548524533,0.9960585011883777,1.0
