feature,finite_fraction,min,max,sd,zero_fraction
shannon,1.0,5.011883334195646,7.765650391943515,0.2775437188755568,0.0
renyi2,1.0,4.990991909107536,7.599507998322985,0.2649463412364019,0.0
simpson,1.0,0.9932010827614776,0.999499302283034,0.000581147549258334,0.0
hhi,1.0,0.0005006977169661,0.0067989172385222,0.0005811475492583338,0.0
participation,1.0,147.08224338046895,1997.213021180359,140.95800020867105,0.0
gini,1.0,0.9403120456579754,0.9957821622134548,0.004134800685054554,0.0
detected,1.0,153.0,2740.0,170.67743843197374,0.0
program_shannon,1.0,3.017769631696865e-05,1.9823439121246336,0.238319781347548,0.0
program_renyi2,1.0,3.576285081423306e-06,1.8625910196567217,0.2533313854298592,0.0
program_simpson,1.0,3.576278686523437e-06,0.8447301983833313,0.09215077338764437,0.0
program_hhi,1.0,0.1552698016166687,0.9999964237213136,0.09215077344630493,0.0
program_participation,1.0,1.0000035762786863,6.440402507781982,0.7593428840909011,0.0
program_gini,1.0,0.3415235770238094,0.888887251775915,0.07629821513695222,0.0
program_detected,1.0,9.0,9.0,0.0,0.0
apg_entropy_norm,1.0,0.4758383158921552,0.6993321686605033,0.023017235992625226,0.0
apg_cmax,1.0,0.0042504671875904,0.0211815847051251,0.001282267004750698,0.0
apg_c2,1.0,0.0011421583130515,0.0078476543872118,0.0005589574738412036,0.0
apg_neff,1.0,140.74559408628426,1437.2132345180376,113.00585288597208,0.0
apg_pr,1.0,127.42661063534452,875.535368935198,73.33565229560655,0.0
apg_d_2_25,1.0,0.4603902670705564,0.5930747880990199,0.013645884990291485,0.0
apg_d_2_5,1.0,0.7079517642680517,0.8313170713029108,0.012550914201104064,0.0
apg_d_3_0,1.0,0.9136550303868768,0.9695374725082828,0.005436526663235887,0.0
apg_d_4_0,1.0,0.992152345612788,0.9988578416869484,0.0005589574738412036,0.0
apg_d_5_0,1.0,0.9992472877434788,0.9999509579345576,4.821718998069875e-05,0.0
apg_d_6_0,1.0,0.9999238569824714,0.9999976501205168,4.077416094712679e-06,0.0
apg_integrated_2_6,1.0,3.5571823130058187,3.685953111810738,0.012781897094027427,0.0
program_apg_entropy_norm,1.0,6.003417814953727e-12,0.8090971112251282,0.13076760536514817,0.0
program_apg_cmax,1.0,0.270407497882843,1.0,0.15309786503309442,0.0
program_apg_c2,1.0,0.1969570815563202,1.0,0.17018943033251518,0.0
program_apg_neff,1.0,1.0000000000131908,5.916636537996834,0.6252880398201287,0.0
program_apg_pr,1.0,1.0,5.0772480964660645,0.5044569649966808,0.0
program_apg_d_2_25,1.0,0.0,0.1971794962882995,0.03322173696844294,0.00015816389294061824
program_apg_d_2_5,1.0,0.0,0.3521783947944641,0.06176852643183814,0.00015816389294061824
program_apg_d_3_0,1.0,0.0,0.5719472765922546,0.1079786291151491,0.00015816389294061824
program_apg_d_4_0,1.0,0.0,0.8030428886413574,0.1701894303730161,0.00015816389294061824
program_apg_d_5_0,1.0,0.0,0.9070149064064026,0.20685523088495283,0.00015816389294061824
program_apg_d_6_0,1.0,0.0,0.9551198482513428,0.22798917132470792,0.00015816389294061824
program_apg_integrated_2_6,1.0,0.0,2.7931912764906883,0.6023264465413762,0.00015816389294061824
