model,fold,n_features,balanced_accuracy,macro_f1
Classical only,1,14,0.4640625,0.4372529218055966
Classical only,2,14,0.465625,0.4333921824960484
Classical only,3,14,0.43984375,0.4117010669904605
Classical only,4,14,0.4515625,0.4232914393002192
Classical only,5,14,0.44765625000000003,0.4235515088636092
Classical + APG low-p,1,20,0.5015625,0.4829423955871861
Classical + APG low-p,2,20,0.5085937500000001,0.48478958373263814
Classical + APG low-p,3,20,0.48671875000000003,0.4597980761337084
Classical + APG low-p,4,20,0.50703125,0.4848957156430719
Classical + APG low-p,5,20,0.49375,0.4746039494422574
Classical + APG transition,1,22,0.50703125,0.4887300256096724
Classical + APG transition,2,22,0.51796875,0.4953896198394397
Classical + APG transition,3,22,0.49843750000000003,0.47347399987173755
Classical + APG transition,4,22,0.5164062500000001,0.4962182247487764
Classical + APG transition,5,22,0.49765625,0.48183240302905084
Classical + APG high-p,1,20,0.5210937499999999,0.5071764909826616
Classical + APG high-p,2,20,0.5335937500000001,0.5175147878992086
Classical + APG high-p,3,20,0.528125,0.509481329897383
Classical + APG high-p,4,20,0.53046875,0.5152595487473492
Classical + APG high-p,5,20,0.521875,0.5136923582676216
Classical + all APG,1,38,0.54296875,0.5347170764362679
Classical + all APG,2,38,0.54921875,0.5340987202417573
Classical + all APG,3,38,0.5445312499999999,0.5281236802019817
Classical + all APG,4,38,0.5453125000000001,0.5318934594413632
Classical + all APG,5,38,0.54296875,0.5375454100886881
