block,feature,mathematical_family
gene_classical,shannon,classical_concentration_diversity
gene_classical,renyi2,classical_concentration_diversity
gene_classical,simpson,classical_concentration_diversity
gene_classical,hhi,classical_concentration_diversity
gene_classical,participation,classical_concentration_diversity
gene_classical,gini,inequality
gene_classical,detected,support_size
gene_apg,apg_entropy_norm,entropy
gene_apg,apg_cmax,maximum_concentration
gene_apg,apg_c2,quadratic_concentration
gene_apg,apg_neff,effective_dimension
gene_apg,apg_pr,participation_ratio
gene_apg,apg_d_2_25,exponent_deformation
gene_apg,apg_d_2_5,exponent_deformation
gene_apg,apg_d_3_0,exponent_deformation
gene_apg,apg_d_4_0,exponent_deformation
gene_apg,apg_d_5_0,exponent_deformation
gene_apg,apg_d_6_0,exponent_deformation
gene_apg,apg_integrated_2_6,exponent_deformation
programme_classical,program_shannon,classical_concentration_diversity
programme_classical,program_renyi2,classical_concentration_diversity
programme_classical,program_simpson,classical_concentration_diversity
programme_classical,program_hhi,classical_concentration_diversity
programme_classical,program_participation,classical_concentration_diversity
programme_classical,program_gini,inequality
programme_classical,program_detected,support_size
programme_apg,program_apg_entropy_norm,entropy
programme_apg,program_apg_cmax,maximum_concentration
programme_apg,program_apg_c2,quadratic_concentration
programme_apg,program_apg_neff,effective_dimension
programme_apg,program_apg_pr,participation_ratio
programme_apg,program_apg_d_2_25,exponent_deformation
programme_apg,program_apg_d_2_5,exponent_deformation
programme_apg,program_apg_d_3_0,exponent_deformation
programme_apg,program_apg_d_4_0,exponent_deformation
programme_apg,program_apg_d_5_0,exponent_deformation
programme_apg,program_apg_d_6_0,exponent_deformation
programme_apg,program_apg_integrated_2_6,exponent_deformation
