model,fold,train_fraction,n_train,macro_f1
All classical (14),1,0.2,1024,0.4225170837360749
All classical (14),1,0.4,2048,0.41845931955325333
All classical (14),1,0.6,3072,0.43437419331649463
All classical (14),1,0.8,4096,0.43899045135323744
All classical (14),1,1.0,5120,0.4372529218055966
All classical (14),2,0.2,1024,0.40845802639323053
All classical (14),2,0.4,2048,0.4283798415992558
All classical (14),2,0.6,3072,0.4239916371588217
All classical (14),2,0.8,4096,0.4323664626486146
All classical (14),2,1.0,5120,0.4333921824960484
All classical (14),3,0.2,1024,0.4022336816752287
All classical (14),3,0.4,2048,0.4067747145608608
All classical (14),3,0.6,3072,0.40798143992707625
All classical (14),3,0.8,4096,0.4118400032638369
All classical (14),3,1.0,5120,0.4117010669904605
All classical (14),4,0.2,1024,0.3856820170204619
All classical (14),4,0.4,2048,0.41263792543266703
All classical (14),4,0.6,3072,0.41836947244298306
All classical (14),4,0.8,4096,0.42278034065105363
All classical (14),4,1.0,5120,0.4232914393002192
All classical (14),5,0.2,1024,0.4094824828048721
All classical (14),5,0.4,2048,0.41535524819687153
All classical (14),5,0.6,3072,0.4192751305284075
All classical (14),5,0.8,4096,0.42267386509142174
All classical (14),5,1.0,5120,0.4235515088636092
All classical + all APG (38),1,0.2,1024,0.5193966151251506
All classical + all APG (38),1,0.4,2048,0.5305194026133927
All classical + all APG (38),1,0.6,3072,0.5398585635048204
All classical + all APG (38),1,0.8,4096,0.5323998742042326
All classical + all APG (38),1,1.0,5120,0.5347170764362679
All classical + all APG (38),2,0.2,1024,0.5308745468070177
All classical + all APG (38),2,0.4,2048,0.5409475259547792
All classical + all APG (38),2,0.6,3072,0.5323248145910467
All classical + all APG (38),2,0.8,4096,0.5319493643809781
All classical + all APG (38),2,1.0,5120,0.5340987202417573
All classical + all APG (38),3,0.2,1024,0.5052749560244871
All classical + all APG (38),3,0.4,2048,0.5123047991241921
All classical + all APG (38),3,0.6,3072,0.5318777464547622
All classical + all APG (38),3,0.8,4096,0.5321933682234707
All classical + all APG (38),3,1.0,5120,0.5281236802019817
All classical + all APG (38),4,0.2,1024,0.5226290367212441
All classical + all APG (38),4,0.4,2048,0.5305113330969193
All classical + all APG (38),4,0.6,3072,0.5293597503972436
All classical + all APG (38),4,0.8,4096,0.5293352277149097
All classical + all APG (38),4,1.0,5120,0.5318934594413632
All classical + all APG (38),5,0.2,1024,0.5340721877460172
All classical + all APG (38),5,0.4,2048,0.5398051083837638
All classical + all APG (38),5,0.6,3072,0.5316816304982234
All classical + all APG (38),5,0.8,4096,0.5354230920244718
All classical + all APG (38),5,1.0,5120,0.5375454100886881
