model,fold,n_features,selected_C,inner_cv_macro_f1,balanced_accuracy,macro_f1
All classical (14),1,14,10.0,0.4344922635307185,0.48125,0.4552260753831688
All classical + matched polynomial/log control (38),1,38,10.0,0.45640091863543364,0.484375,0.4629319381214075
All classical + matched RFF control (38),1,38,10.0,0.4575502745288733,0.48359375,0.46853323036176914
All classical + all APG (38),1,38,10.0,0.5413744684972479,0.546875,0.5422356412289485
All classical (14),2,14,10.0,0.4358976952901874,0.4828125,0.45252800848966335
All classical + matched polynomial/log control (38),2,38,10.0,0.45862149055680385,0.48125,0.45765210235880094
All classical + matched RFF control (38),2,38,10.0,0.46222327658284934,0.48515625,0.463762218138073
All classical + all APG (38),2,38,10.0,0.5395623585848789,0.5515625,0.5384451801454481
All classical (14),3,14,10.0,0.44500661356787136,0.45703125,0.42773259934852337
All classical + matched polynomial/log control (38),3,38,10.0,0.4629660359291589,0.471875,0.44933114193930745
All classical + matched RFF control (38),3,38,10.0,0.45201657915316806,0.4609375,0.44028467350719613
All classical + all APG (38),3,38,10.0,0.53517732551633,0.5570312500000001,0.5435395980322529
All classical (14),4,14,10.0,0.4456681948996742,0.46484375,0.437177384838096
All classical + matched polynomial/log control (38),4,38,10.0,0.4560961578540262,0.47734374999999996,0.4564939880919587
All classical + matched RFF control (38),4,38,10.0,0.45791525357046337,0.46953124999999996,0.4460271919410227
All classical + all APG (38),4,38,10.0,0.5369413012167153,0.54609375,0.5360233332489666
All classical (14),5,14,10.0,0.44349962758737443,0.46562500000000007,0.4442067683597699
All classical + matched polynomial/log control (38),5,38,10.0,0.45566368401757823,0.48671875000000003,0.47067153919748245
All classical + matched RFF control (38),5,38,10.0,0.4567391416470316,0.47109375,0.45320362218899857
All classical + all APG (38),5,38,10.0,0.5425923610134947,0.5453125,0.5415080246811876
