model,cell_type,precision,recall,f1,support
All classical (14),B cell,0.5750273822562979,0.65625,0.6129597197898424,800.0
All classical (14),CD14 monocyte,0.6099210822998873,0.67625,0.6413752222880854,800.0
All classical (14),CD4 T,0.3517915309446254,0.675,0.4625267665952891,800.0
All classical (14),CD8 T,0.32309746328437916,0.3025,0.31245965138799225,800.0
All classical (14),Dendritic,0.5659722222222222,0.20375,0.29963235294117646,800.0
All classical (14),FCGR3A monocyte,0.5177304964539007,0.365,0.4281524926686217,800.0
All classical (14),NK,0.4521232306411324,0.67875,0.5427286356821589,800.0
All classical (14),Platelet,0.22053231939163498,0.0725,0.10912511759172154,800.0
All classical + all APG (38),B cell,0.8183161004431314,0.6925,0.7501692620176033,800.0
All classical + all APG (38),CD14 monocyte,0.6815578465063001,0.74375,0.7112970711297071,800.0
All classical + all APG (38),CD4 T,0.36518324607329844,0.6975,0.4793814432989691,800.0
All classical + all APG (38),CD8 T,0.3925855513307985,0.51625,0.44600431965442766,800.0
All classical + all APG (38),Dendritic,0.6091476091476091,0.36625,0.4574551131928181,800.0
All classical + all APG (38),FCGR3A monocyte,0.6293436293436293,0.4075,0.4946889226100152,800.0
All classical + all APG (38),NK,0.7006507592190889,0.8075,0.7502903600464577,800.0
All classical + all APG (38),Platelet,0.29512893982808025,0.12875,0.17928633594429938,800.0
