retained_fraction,descriptor,spearman_rho
0.8,shannon,0.9962731035517245
0.8,apg_entropy_norm,0.99420874876367
0.8,apg_cmax,0.9780085828259109
0.8,apg_d_3_0,0.9919608546263354
0.8,apg_d_6_0,0.9867135651774458
0.8,apg_integrated_2_6,0.9928021450033516
0.6,shannon,0.9919291436392871
0.6,apg_entropy_norm,0.9857877590433736
0.6,apg_cmax,0.9432692551082111
0.6,apg_d_3_0,0.9779868796669997
0.6,apg_d_6_0,0.9575802852816958
0.6,apg_integrated_2_6,0.9811426736604277
0.4,shannon,0.9814953617115028
0.4,apg_entropy_norm,0.9658683138567404
0.4,apg_cmax,0.8900111797049683
0.4,apg_d_3_0,0.9461159314311429
0.4,apg_d_6_0,0.8888705685477634
0.4,apg_integrated_2_6,0.9538163809630953
0.2,shannon,0.951259275405118
0.2,apg_entropy_norm,0.9166306900479534
0.2,apg_cmax,0.8025199336248963
0.2,apg_d_3_0,0.8783732943332725
0.2,apg_d_6_0,0.7697955074929805
0.2,apg_integrated_2_6,0.892883848256013
